c_dynasty_chn,c_nianhao_id,c_nianhao_chn,c_firstyear,c_lastyear
元,624,元貞,1295,1297
元,625,大德,1297,1307
元,626,至大,1308,1311
元,627,皇慶,1312,1313
元,628,延祐,1314,1320
元,629,至治,1321,1323
元,630,泰定,1324,1328
元,631,致和,1328,1328
元,632,天曆,1328,1330
元,633,至順,1330,1333
元,634,元統,1333,1334
元,635,至元,1335,1340
元,636,至正,1341,1370
明,639,洪武,1368,1398
北元,637,宣光,1371,1378
北元,638,天光,1378,1387
明,640,建文,1399,1402
明,641,永樂,1403,1424
明,642,洪熙,1425,1425
明,643,宣德,1426,1435
明,644,正統,1436,1449
明,645,景泰,1450,1457
明,646,天順,1457,1464
明,647,成化,1465,1487
明,648,弘治,1488,1505
明,649,正德,1506,1521
明,650,嘉靖,1522,1566
明,651,隆慶,1567,1572
明,652,萬曆,1573,1620
